speciesID,taxonomicOrder,alphaCode,commonName,scientificName,femaleMass_min_g,femaleMass_max_g,maleMass_min_g,maleMass_max_g,femaleWingChord_min_mm,femaleWingChord_max_mm,maleWingChord_min_mm,maleWingChord_max_mm,femaleTailLength_min_mm,femaleTailLength_max_mm,maleTailLength_min_mm,maleTailLength_max_mm,bandSize
8700,837,BRWE,Bridled White-eye,Zosterops conspicillatus,0,0,0,0,0,0,0,0,0,0,0,0,"0A, 0"
8710,835,GOWE,Golden White-eye,Cleptornis marchei,0,0,0,0,0,0,0,0,0,0,0,0,"1B, 1"
8720,892,MIST,Micronesian Starling,Aplonis opaca,0,0,0,0,0,0,0,0,0,0,0,0,"3, 2"
8740,730,BLDR,Black Drongo,Dicrurus macrocercus,0,0,0,0,0,0,0,0,0,0,0,0,2
8750,499,LTCU,Long-tailed Cuckoo,Eudynamys taitensis,0,0,0,0,0,0,0,0,0,0,0,0,"3, 3B, 3A"
8760,482,MCFD,Many-colored Fruit Dove,Ptilinopus perousii,0,0,0,0,0,0,0,0,0,0,0,0,"3A, 3B"
8770,485,PAPI,Pacific Pigeon,Ducula pacifica,0,0,0,0,0,0,0,0,0,0,0,0,6
8780,481,SHGD,Shy Ground Dove,Alopecoenas stairi,0,0,0,0,0,0,0,0,0,0,0,0,"3A, 4"
8790,583,MICK,Micronesian Kingfisher,Todiramphus cinnamominus,0,0,0,0,0,0,0,0,0,0,0,0,3
8791,584,GMKI,Guam Micronesian Kingfisher,Todiramphus cinnamominus cinnamominus,0,0,0,0,0,0,0,0,0,0,0,0,3
8800,544,MGSW,Mariana Gray Swiftlet,Aerodramus vanikorensis bartschi,0,0,0,0,0,0,0,0,0,0,0,0,0
8810,836,ROWE,Rota White-eye,Zosterops rotensis,0,0,0,0,0,0,0,0,0,0,0,0,0
9067,548,PRMA,Puerto Rican Mango,Anthracothorax aurulentus,0,0,0,0,0,0,0,0,0,0,0,0,X
9071,576,STTL,Streamertail,Trochilus polytmus,0,0,0,0,0,0,0,0,0,0,0,0,X
