Year,Date,Region,Location,PlotID,Latitude,Longitude,EncounterType,FlagCode,FlagColor,CurrentFlagCode,CurrentFlagColor,Age,Sex,TrackerType1,TrackerType2,TrackerStatus1,TrackerStatus2,Observer,Comments
2023,7/7/2023,Alaska,Nome,34 MI,64.82323,-166.03889,R,1PC,FEDG,1PC,FEDG,AHY,,RADIO,,Retained,,ZPohlen,"Fecal: 1406, Attending brood"
2023,7/7/2023,Alaska,Nome,Tombstone,64.93808,-166.21133,R,1PL,FEDG,1PL,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/8/2023,Alaska,Nome,37 MI,64.83804,-166.06932,R,1CX,FEDG,1CX,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/8/2023,Alaska,Nome,37 MI,64.84950,-166.09150,R,1KU,FEDG,1KU,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/8/2023,Alaska,Nome,37 MI,64.84421,-166.08313,R,1MH,FEDG,1MH,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/8/2023,Alaska,Nome,37 MI,64.82224,-166.03530,R,1MP,FEDG,1MP,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/8/2023,Alaska,Nome,37 MI,64.85090,-166.08123,R,1NL,FEDG,1NL,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/10/2023,Alaska,Nome,Steven,64.85151,-165.99015,R,1JP,FEDG,1JP,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/10/2023,Alaska,Nome,34 MI,64.82402,-166.03858,R,1MY,FEDG,1MY,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/10/2023,Alaska,Nome,34 MI,64.81903,-166.03583,R,1PC,FEDG,1PC,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/11/2023,Alaska,Nome,37 MI,64.83660,-166.08348,R,1MP,FEDG,1MP,FEDG,AHY,,RADIO,,Retained,,ZPohlen,"Fecal: 1456, Attending brood"
2023,7/11/2023,Alaska,Nome,37 MI,64.83555,-166.07179,R,1CX,FEDG,1CX,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/11/2023,Alaska,Nome,37 MI,64.84661,-166.08843,R,1KU,FEDG,1KU,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/11/2023,Alaska,Nome,37 MI,64.84106,-166.08638,R,1MH,FEDG,1MH,FEDG,AHY,,RADIO,,Retained,,ZPohlen,"Fecal: 1450, Attending brood"
2023,7/11/2023,Alaska,Nome,37 MI,64.83555,-166.07179,R,1MT,FEDG,1MT,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/11/2023,Alaska,Nome,37 MI,64.84388,-166.08075,R,1NL,FEDG,1NL,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/11/2023,Alaska,Nome,Tombstone,64.93388,-166.20800,R,1PL,FEDG,1PL,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/11/2023,Alaska,Nome,34 MI,64.81572,-165.92424,R,1PP,FEDG,1PP,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/11/2023,Alaska,Nome,34 MI,64.81617,-165.92765,R,1PT,FEDG,1PT,FEDG,AHY,,RADIO,,Retained,,ZPohlen,"Fecal: 1461, Attending brood"
2023,7/12/2023,Alaska,Nome,Feather,64.84620,-165.94685,R,1NN,FEDG,1NN,FEDG,AHY,,RADIO,,Retained,,ZPohlen,"Fecal: 1470, Attending brood"
2023,7/12/2023,Alaska,Nome,Feather,,,R,1PN,FEDG,1PN,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Brood not located
2023,7/15/2023,Alaska,Nome,37 MI,64.83620,-166.07298,R,1CX,FEDG,1CX,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/15/2023,Alaska,Nome,37 MI,64.84526,-166.08523,R,1KU,FEDG,1KU,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/15/2023,Alaska,Nome,37 MI,64.84920,-166.08791,R,1MH,FEDG,1MH,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/15/2023,Alaska,Nome,37 MI,64.84112,-166.08508,R,1MP,FEDG,1MP,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/15/2023,Alaska,Nome,Tombstone,64.93756,-166.21115,R,1PL,FEDG,1PL,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/16/2023,Alaska,Nome,34 MI,64.82343,-166.03942,R,1MY,FEDG,1MY,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/16/2023,Alaska,Nome,Feather,64.84522,-165.95093,R,1NN,FEDG,1NN,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/16/2023,Alaska,Nome,34 MI,64.81648,-166.01815,R,1PC,FEDG,1PC,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/18/2023,Alaska,Nome,37 MI,64.83844,-166.06918,R,1CX,FEDG,1CX,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/18/2023,Alaska,Nome,37 MI,64.84230,-166.08477,R,1KU,FEDG,1KU,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/18/2023,Alaska,Nome,37 MI,64.84612,-166.08172,R,1MH,FEDG,1MH,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/18/2023,Alaska,Nome,34 MI,64.82256,-166.03355,R,1MY,FEDG,1MY,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
2023,7/18/2023,Alaska,Nome,34 MI,64.81878,-166.03457,R,1PC,FEDG,1PC,FEDG,AHY,,RADIO,,Retained,,ZPohlen,Attending brood
