Year,StateProvince,City,PlotName,Latitude_dec,Longitude_dec,Date,CaptureTime_2400,SpeciesCode,BanderID,ScribeID,BandSize,BandNumberIn,FlagColorIn,FlagCodeIn,ULIn,LLIn,URIn,LRIn,BandNumberOut,FlagColorOut,FlagCodeOut,ULOut,LLOut,UROut,LROut,TagType1,TagStatus1,TagID1,TagType2,TagStatus2,TagID2,BBLDisposition,BBLStatus,BBLCondition,Age,HowAged,FieldSex,CHDSex,HowSexed,CulmenLength_mm,CulmenDepth_mm,CulmenWidth_mm,NaresTip_mm,TotalHead_mm,Tarsus_mm,Wing_mm,P10_mm,P10Exposed_mm,FatScore,Mass_g,CaptureMethod,NestID,BroodID,ChickAgeType,EstHatchDate,ChickAge_d,Feather,FeatherType1,FeatherType2,Blood,BloodFilter,BloodIsotope,Fecal,Notes
2023,Alaska,Nome,37 MI,64.85334,-166.08131,6/8/2023,14:45,REKN,TOortwijn,JvanGils,2,142220915,Dg,1CX,Flag,,Lb,X,142220915,Dg,1CX,Flag,,Lb,X,Radio,Deployed,,,,,R,319,7,ATY,PL,M,,BO,35.6,6,3.6,27.7,68,34.6,176,,,,120,MN,J01,1CX,,,,Y,PC6,body,Y,,Y,Y,Frequency: 173.673
2023,Alaska,Nome,34 MI,64.81341,-165.95924,5/28/2023,16:00,REKN,TOortwijn,JvanGils,2,142220917,Dg,1NK,Flag,,Dg,X,142220917,Dg,1NK,Flag,,Dg,X,Radio,Deployed,,,,,R,319,7,ATY,PL,M,,BO,34,6.5,4.7,25.9,64.8,33,177,,,,109,WN,,,,,,Y,PC6,body,Y,,Y,Y,Frequency: 173.612
2023,Alaska,Nome,37 MI,64.85084,-166.09125,5/27/2023,16:50,REKN,TOortwijn,JvanGils,2,142220930,Dg,1NL,Flag,,Dg,X,142220930,Dg,1NL,Flag,,Dg,X,Radio,Deployed,,,,,R,319,7,ATY,PL,M,,BO,33.8,6.4,3.8,26.5,65,32.8,170,,,,144,WN,T03,1NL,,,,Y,PC6,body,Y,,Y,Y,Frequency: 173.593
2023,Alaska,Nome,34 MI,64.81651,-165.99593,6/21/2023,16:35,REKN,TOortwijn,KHunt,2,142220936,Dg,1NM,Flag,,Dg,X,142220936,Dg,1NM,Flag,,Dg,X,,,,,,,R,319,7,ATY,PL,F,,BO,36.5,5.4,3,27.9,68,33.3,183,,,,126,MN,T04,1MN,,,,Y,PC6,body,Y,,Y,Y,"Tarsus-toe: 61.0, swab: 1289, plasma: 1286, RBC: 1288, DNA: 1287, DNA from egg: 1290"
2023,Alaska,Nome,Feather,64.84146,-165.95891,7/3/2023,14:55,REKN,ZMPohlen,KHunt,2,142220937,Dg,1NN,Flag,,Dg,X,142220937,Dg,1NN,Flag,,Dg,X,Radio,Deployed,267756,,,,R,319,7,ATY,PL,M,,BO,35,5.6,3.7,26,63.9,31.4,170,,,,127,MN,T05,1NN,,,,Y,PC6,body,Y,,Y,Y,"Frequency: 173.204, plumage: 7, tarsus-toe: 59, swab: 1315, DNA: 1316, plasma: 1317, RBC: 1318"
2023,Alaska,Nome,37 MI,64.85334,-166.08131,6/24/2023,16:41,REKN,ZMPohlen,KHunt,2,,,,,,,,123233635,,,,,,X,,,,,,,1,318,7,L,NF,U,,NA,11.2,4.1,3.4,9.3,32.5,27.3,,1.3,0,,14,HA,J01,1CX,Known,6/24/2023,0,Y,down,,Y,Y,,,
2023,Alaska,Nome,37 MI,64.85534,-166.07919,6/26/2023,12:00,REKN,ZMPohlen,KHunt,2,123233635,,,,,,X,123233635,,,,,,X,,,,,,,R,300,7,L,NF,U,,NA,13.1,4.4,3.7,10.8,35.2,27.9,,2.7,0,,16.1,HA,J01,1CX,Known,6/24/2023,2,N,,,N,,,Y,Fecal: 1167
2023,Alaska,Nome,37 MI,64.85156,-166.08131,6/29/2023,16:34,REKN,ZMPohlen,KHunt,2,123233635,,,,,,X,123233635,,,,,,X,,,,,,,R,300,7,L,NF,U,,NA,16.4,4.9,4.3,12.6,39.5,28.9,,9.8,0,,31.4,HA,J01,1CX,Known,6/24/2023,5,N,,,N,,,Y,Fecal: 1187
2023,Alaska,Nome,37 MI,64.85502,-166.07948,7/2/2023,13:06,REKN,ZMPohlen,KHunt,2,123233635,,,,,,X,123233635,,,,,,X,,,,,,,R,300,7,L,NF,U,,NA,19.4,5.4,4.7,15.3,44.6,31.2,,24.1,6.9,,54.3,HA,J01,1CX,Known,6/24/2023,8,N,,,N,,,Y,Fecal: 1207
2023,Alaska,Nome,37 MI,64.84035,-166.0783,7/5/2023,12:12,REKN,ZMPohlen,KHunt,2,123233635,,,,,,X,123233635,,,,,,X,,,,,,,R,300,7,L,NF,U,,NA,21.3,6.2,4.9,16.4,48.2,32.5,,40.8,16.8,,70.8,HA,J01,1CX,Known,6/24/2023,11,Y,body,,N,,,Y,"Fecal: 1385, 1386,  Adult 1CX fecal sample: 1383"
