BAND NUMBER,BAND_SIZE,BAND_TYPE,ISSUE OR TRANSFER REQUEST DATE
129232197,2,BE,10/28/2008
129232198,2,BE,10/28/2008
129232199,2,BE,10/28/2008
129232200,2,BE,10/28/2008
129267697,2,BE,07/05/2020
129267699,2,BE,07/05/2020
142220901,2,BE,04/19/2022
142220902,2,BE,04/19/2022
142220903,2,BE,04/19/2022
142220904,2,BE,04/19/2022
142220905,2,BE,04/19/2022
142220906,2,BE,04/19/2022
142220907,2,BE,04/19/2022
142220908,2,BE,04/19/2022
142220909,2,BE,04/19/2022
142220910,2,BE,04/19/2022
142220911,2,BE,04/19/2022
142220912,2,BE,04/19/2022
142220913,2,BE,04/19/2022
142220914,2,BE,04/19/2022
142220915,2,BE,04/19/2022
142220916,2,BE,04/19/2022
142220917,2,BE,04/19/2022
142220918,2,BE,04/19/2022
142220919,2,BE,04/19/2022
142220920,2,BE,04/19/2022
142220921,2,BE,04/19/2022
142220922,2,BE,04/19/2022
142220923,2,BE,04/19/2022
142220924,2,BE,04/19/2022
142220925,2,BE,04/19/2022
142220926,2,BE,04/19/2022
142220927,2,BE,04/19/2022
142220928,2,BE,04/19/2022
142220929,2,BE,04/19/2022
142220930,2,BE,04/19/2022
142220931,2,BE,04/19/2022
142220932,2,BE,04/19/2022
142220933,2,BE,04/19/2022
142220934,2,BE,04/19/2022
142220935,2,BE,04/19/2022
142220936,2,BE,04/19/2022
142220937,2,BE,04/19/2022
142220938,2,BE,04/19/2022
142220939,2,BE,04/19/2022
142220940,2,BE,04/19/2022
142220941,2,BE,04/19/2022
142220942,2,BE,04/19/2022
142220943,2,BE,04/19/2022
142220944,2,BE,04/19/2022
142220945,2,BE,04/19/2022
142220946,2,BE,04/19/2022
142220947,2,BE,04/19/2022
142220948,2,BE,04/19/2022
142220949,2,BE,04/19/2022
142220950,2,BE,04/19/2022
142220951,2,BE,04/19/2022
142220952,2,BE,04/19/2022
142220953,2,BE,04/19/2022
142220954,2,BE,04/19/2022
142220955,2,BE,04/19/2022
142220956,2,BE,04/19/2022
142220957,2,BE,04/19/2022
142220958,2,BE,04/19/2022
142220959,2,BE,04/19/2022
142220960,2,BE,04/19/2022
142220961,2,BE,04/19/2022
142220962,2,BE,04/19/2022
142220963,2,BE,04/19/2022
142220964,2,BE,04/19/2022
142220965,2,BE,04/19/2022
142220966,2,BE,04/19/2022
142220967,2,BE,04/19/2022
142220968,2,BE,04/19/2022
142220969,2,BE,04/19/2022
142220970,2,BE,04/19/2022
142220971,2,BE,04/19/2022
142220972,2,BE,04/19/2022
142220973,2,BE,04/19/2022
142220974,2,BE,04/19/2022
142220975,2,BE,04/19/2022
142220976,2,BE,04/19/2022
142220977,2,BE,04/19/2022
142220978,2,BE,04/19/2022
142220979,2,BE,04/19/2022
142220980,2,BE,04/19/2022
142220981,2,BE,04/19/2022
142220982,2,BE,04/19/2022
142220983,2,BE,04/19/2022
142220984,2,BE,04/19/2022
142220985,2,BE,04/19/2022
142220986,2,BE,04/19/2022
142220987,2,BE,04/19/2022
142220988,2,BE,04/19/2022
142220989,2,BE,04/19/2022
142220990,2,BE,04/19/2022
142220991,2,BE,04/19/2022
142220992,2,BE,04/19/2022
142220993,2,BE,04/19/2022
142220994,2,BE,04/19/2022
142220995,2,BE,04/19/2022
142220996,2,BE,04/19/2022
142220997,2,BE,04/19/2022
142220998,2,BE,04/19/2022
142220999,2,BE,04/19/2022
142221000,2,BE,04/19/2022
142221001,2,BE,04/19/2022
142221002,2,BE,04/19/2022
142221003,2,BE,04/19/2022
142221004,2,BE,04/19/2022
142221005,2,BE,04/19/2022
142221006,2,BE,04/19/2022
142221007,2,BE,04/19/2022
142221008,2,BE,04/19/2022
142221009,2,BE,04/19/2022
142221010,2,BE,04/19/2022
142221011,2,BE,04/19/2022
142221012,2,BE,04/19/2022
142221013,2,BE,04/19/2022
142221014,2,BE,04/19/2022
142221015,2,BE,04/19/2022
142221016,2,BE,04/19/2022
142221017,2,BE,04/19/2022
142221018,2,BE,04/19/2022
142221019,2,BE,04/19/2022
142221020,2,BE,04/19/2022
142221021,2,BE,04/19/2022
142221022,2,BE,04/19/2022
142221023,2,BE,04/19/2022
142221024,2,BE,04/19/2022
142221025,2,BE,04/19/2022
142221026,2,BE,04/19/2022
142221027,2,BE,04/19/2022
142221028,2,BE,04/19/2022
142221029,2,BE,04/19/2022
142221030,2,BE,04/19/2022
142221031,2,BE,04/19/2022
142221032,2,BE,04/19/2022
142221033,2,BE,04/19/2022
142221034,2,BE,04/19/2022
142221035,2,BE,04/19/2022
142221036,2,BE,04/19/2022
142221037,2,BE,04/19/2022
142221038,2,BE,04/19/2022
142221039,2,BE,04/19/2022
142221040,2,BE,04/19/2022
142221041,2,BE,04/19/2022
142221042,2,BE,04/19/2022
142221043,2,BE,04/19/2022
142221044,2,BE,04/19/2022
142221045,2,BE,04/19/2022
142221046,2,BE,04/19/2022
142221047,2,BE,04/19/2022
142221048,2,BE,04/19/2022
142221049,2,BE,04/19/2022
142221050,2,BE,04/19/2022
142221051,2,BE,04/19/2022
142221052,2,BE,04/19/2022
142221053,2,BE,04/19/2022
142221054,2,BE,04/19/2022
142221055,2,BE,04/19/2022
142221056,2,BE,04/19/2022
142221057,2,BE,04/19/2022
142221058,2,BE,04/19/2022
142221059,2,BE,04/19/2022
142221060,2,BE,04/19/2022
142221061,2,BE,04/19/2022
142221062,2,BE,04/19/2022
142221063,2,BE,04/19/2022
142221064,2,BE,04/19/2022
142221065,2,BE,04/19/2022
142221066,2,BE,04/19/2022
142221067,2,BE,04/19/2022
142221068,2,BE,04/19/2022
142221069,2,BE,04/19/2022
142221070,2,BE,04/19/2022
142221071,2,BE,04/19/2022
142221072,2,BE,04/19/2022
142221073,2,BE,04/19/2022
142221074,2,BE,04/19/2022
142221075,2,BE,04/19/2022
142221076,2,BE,04/19/2022
142221077,2,BE,04/19/2022
142221078,2,BE,04/19/2022
142221079,2,BE,04/19/2022
142221080,2,BE,04/19/2022
142221081,2,BE,04/19/2022
142221082,2,BE,04/19/2022
142221083,2,BE,04/19/2022
142221084,2,BE,04/19/2022
142221085,2,BE,04/19/2022
142221086,2,BE,04/19/2022
142221087,2,BE,04/19/2022
142221088,2,BE,04/19/2022
142221089,2,BE,04/19/2022
142221090,2,BE,04/19/2022
142221091,2,BE,04/19/2022
142221092,2,BE,04/19/2022
142221093,2,BE,04/19/2022
142221094,2,BE,04/19/2022
142221095,2,BE,04/19/2022
142221096,2,BE,04/19/2022
142221097,2,BE,04/19/2022
142221098,2,BE,04/19/2022
142221099,2,BE,04/19/2022
142221100,2,BE,04/19/2022
142263701,2,BE,04/04/2024
142263702,2,BE,04/04/2024
142263703,2,BE,04/04/2024
142263704,2,BE,04/04/2024
142263705,2,BE,04/04/2024
142263706,2,BE,04/04/2024
142263707,2,BE,04/04/2024
142263708,2,BE,04/04/2024
142263709,2,BE,04/04/2024
142263710,2,BE,04/04/2024
